id,date,count
b1e1e1e1-0000-0000-0000-000000000001,2025-05-23,7
b1e1e1e1-0000-0000-0000-000000000002,2025-05-22,7
b1e1e1e1-0000-0000-0000-000000000003,2025-05-21,7
b1e1e1e1-0000-0000-0000-000000000004,2025-05-20,7
b1e1e1e1-0000-0000-0000-000000000005,2025-05-19,6
b1e1e1e1-0000-0000-0000-000000000006,2025-05-18,6
b1e1e1e1-0000-0000-0000-000000000007,2025-05-17,6
b1e1e1e1-0000-0000-0000-000000000008,2025-05-16,6
b1e1e1e1-0000-0000-0000-000000000009,2025-05-15,6
b1e1e1e1-0000-0000-0000-00000000000a,2025-05-14,6
b1e1e1e1-0000-0000-0000-00000000000b,2025-05-13,6
b1e1e1e1-0000-0000-0000-00000000000c,2025-05-12,6
b1e1e1e1-0000-0000-0000-00000000000d,2025-05-11,6
b1e1e1e1-0000-0000-0000-00000000000e,2025-05-10,6
b1e1e1e1-0000-0000-0000-00000000000f,2025-05-09,6
b1e1e1e1-0000-0000-0000-000000000010,2025-05-08,6
b1e1e1e1-0000-0000-0000-000000000011,2025-05-07,6
b1e1e1e1-0000-0000-0000-000000000012,2025-05-06,7
b1e1e1e1-0000-0000-0000-000000000013,2025-05-05,4
b1e1e1e1-0000-0000-0000-000000000014,2025-05-04,6
b1e1e1e1-0000-0000-0000-000000000015,2025-05-03,6
b1e1e1e1-0000-0000-0000-000000000016,2025-05-02,4
b1e1e1e1-0000-0000-0000-000000000017,2025-05-01,6
b1e1e1e1-0000-0000-0000-000000000018,2025-04-30,6
b1e1e1e1-0000-0000-0000-000000000019,2025-04-29,6
b1e1e1e1-0000-0000-0000-00000000001a,2025-04-28,6
b1e1e1e1-0000-0000-0000-00000000001b,2025-04-27,5
b1e1e1e1-0000-0000-0000-00000000001c,2025-04-26,19
b1e1e1e1-0000-0000-0000-00000000001d,2025-04-23,7
b1e1e1e1-0000-0000-0000-00000000001e,2025-04-22,6
b1e1e1e1-0000-0000-0000-00000000001f,2025-04-21,12
b1e1e1e1-0000-0000-0000-000000000020,2025-04-19,20
b1e1e1e1-0000-0000-0000-000000000021,2025-04-16,7
b1e1e1e1-0000-0000-0000-000000000022,2025-04-15,6
b1e1e1e1-0000-0000-0000-000000000023,2025-04-14,7
b1e1e1e1-0000-0000-0000-000000000024,2025-04-13,7
b1e1e1e1-0000-0000-0000-000000000025,2025-04-12,6
b1e1e1e1-0000-0000-0000-000000000026,2025-04-11,6
b1e1e1e1-0000-0000-0000-000000000027,2025-04-10,7
b1e1e1e1-0000-0000-0000-000000000028,2025-04-09,7
b1e1e1e1-0000-0000-0000-000000000029,2025-04-08,6
b1e1e1e1-0000-0000-0000-00000000002a,2025-04-07,7
